Index	Sentiment	Buy Price
ENDP	1.0529	10.76
ADS	1.0396	238.34
MU	1.03	27.18
SWN	1.0281	8.10
RCL	1.0219	95.30
REGN	1.0215	367.07
UA	1.0211	18.04
MNK	1.0186	43.62
UAA	1.0174	19.42
ADI	1.017	78.08
QCOM	1.0146	55.35
MYL	1.0144	38.45
BEN	1.0144	41.01
FTR	1.0138	2.05
CCL	1.012	57.78
TRIP	1.0118	41.45
CMCSA	1.0114	37.23
NVDA	1.0107	98.12
ABBV	1.0105	64.18
FDX	1.0104	192.99
DOW	1.0101	62.49
RF	1.01	14.17
DD	1.01	79.14
AMAT	1.0094	38.20
WLTW	1.0089	127.14
AIG	1.0086	60.79
ADM	1.0084	44.54
MCHP	1.0083	72.66
LRCX	1.0082	127.23
MNST	1.0072	45.36
CRM	1.0072	83.86
SNI	1.007	76.64
CBS	1.0069	68.03
FITB	1.0069	24.69
TSS	1.0068	52.25
TXN	1.0067	79.41
NOV	1.0066	38.73
MOS	1.0066	28.69
VIAB	1.0064	44.79
RRC	1.0063	29.40
SCG	1.0062	65.30
SJM	1.0058	127.77
CMA	1.0056	67.05
FB	1.0056	139.92
BAC	1.0055	22.92
BBT	1.0055	43.62
VAR	1.0053	90.04
KR	1.0052	29.57
NLSN	1.0052	41.37
SPLS	1.0051	9.68
SYMC	1.0051	30.40
IBM	1.0051	170.58
OMC	1.005	84.77
LYB	1.0049	88.02
KLAC	1.0049	95.50
DLTR	1.0049	77.08
T	1.0047	40.36
DISCA	1.0046	29.04
SRCL	1.0045	81.82
C	1.0044	59.03
MRK	1.0044	62.58
MJN	1.0043	88.73
ROP	1.0043	206.95
WRK	1.0043	50.99
NWS	1.0043	12.85
GRMN	1.0043	49.99
OKE	1.0042	55.72
CSX	1.0041	47.21
IP	1.0041	50.26
ZION	1.004	40.94
MSI	1.004	83.45
JBHT	1.0038	91.61
D	1.0038	77.48
SPGI	1.0038	129.20
BHI	1.0037	60.87
INTC	1.0037	35.74
MTB	1.0036	151.48
HBAN	1.0035	13.00
K	1.0034	72.15
XLNX	1.0033	55.96
SWKS	1.0031	100.14
PNC	1.0031	118.03
FE	1.0031	31.44
MDLZ	1.003	44.06
HSY	1.0029	108.41
PVH	1.0029	101.36
EW	1.0029	93.60
FFIV	1.0029	136.68
UHS	1.0029	122.87
EIX	1.0028	79.99
PFE	1.0028	33.93
GIS	1.0027	57.42
JNJ	1.0027	124.22
ALK	1.0027	88.84
XRX	1.0027	7.08
PKI	1.0025	57.46
COF	1.0025	83.09
CFG	1.0025	34.38
ES	1.0025	59.21
WYNN	1.0025	116.23
CHRW	1.0024	75.75
EQIX	1.0024	399.84
NTAP	1.0024	40.54
DUK	1.0024	82.19
ZBH	1.0023	119.58
GOOGL	1.0023	839.88
FOX	1.0023	30.47
CME	1.0022	117.07
DLPH	1.0022	74.91
DISCK	1.0022	28.48
NDAQ	1.0021	69.00
PDCO	1.0021	44.30
WM	1.002	72.87
NWSA	1.002	12.50
PRU	1.0019	105.40
MKC	1.0019	99.67
VRTX	1.0019	114.23
ED	1.0018	77.90
HCA	1.0018	88.00
PCG	1.0018	67.01
BIIB	1.0017	268.65
BRK-B	1.0017	165.70
STT	1.0016	78.32
RIG	1.0016	12.53
AEP	1.0015	67.39
WAT	1.0015	155.88
DG	1.0015	69.15
EXPD	1.0014	55.97
LNT	1.0014	39.70
MTD	1.0013	480.04
UNM	1.0013	46.15
ICE	1.0013	60.29
L	1.0012	47.21
NSC	1.0011	115.22
USB	1.0011	50.89
NEE	1.001	129.32
CSCO	1.001	32.92
SYK	1.001	130.59
TMO	1.0009	152.87
LUK	1.0009	26.18
NWL	1.0009	46.27
PCLN	1.0009	1768.40
NKE	1.0009	54.92
STI	1.0009	54.97
JNPR	1.0008	27.79
HRL	1.0008	34.30
MA	1.0008	112.11
ABT	1.0007	43.58
EFX	1.0007	135.74
KMI	1.0007	21.61
LH	1.0006	143.34
MSFT	1.0006	65.48
ALL	1.0005	81.17
MDT	1.0005	80.15
XYL	1.0005	50.67
CNP	1.0005	27.91
ISRG	1.0004	764.83
XOM	1.0004	82.84
TAP	1.0003	95.58
CELG	1.0003	125.06
ADBE	1.0002	129.95
IDXX	1.0002	154.69
KHC	1.0001	90.83
CAG	1.0001	40.50
UNH	1.0001	165.53
KEY	1.0001	17.33
AVY	1.0	79.67
YUM	1.0	64.15
SE	1.0	40.68
DTE	0.9999	103.13
BDX	0.9999	183.78
PWR	0.9998	35.62
GPN	0.9998	77.69
WEC	0.9998	60.64
FOXA	0.9997	31.15
PPL	0.9997	37.35
EMN	0.9997	80.17
XEL	0.9997	44.58
AVGO	0.9996	217.55
GWW	0.9996	229.50
KO	0.9996	42.66
CHTR	0.9996	332.30
CI	0.9996	151.57
EOG	0.9994	97.88
HOLX	0.9994	42.59
EBAY	0.9994	33.99
AJG	0.9993	56.30
AGN	0.9993	239.11
GM	0.9993	33.92
ABC	0.9993	87.87
JEC	0.9993	54.61
MON	0.9993	116.00
BSX	0.9991	24.57
MMC	0.9991	73.39
HPE	0.9991	18.18
SYF	0.9991	33.05
BLL	0.999	72.25
FIS	0.9989	80.08
NRG	0.9989	18.71
MAR	0.9989	91.40
AMZN	0.9989	902.36
DRI	0.9989	82.94
COG	0.9986	24.62
PX	0.9986	119.18
LNC	0.9986	65.35
AEE	0.9985	54.79
MMM	0.9985	190.07
AON	0.9984	119.73
DHR	0.9984	86.21
SEE	0.9983	43.00
FLIR	0.9983	35.66
HRS	0.9983	109.94
XRAY	0.9983	62.68
ECL	0.9982	125.66
ALB	0.9982	105.61
CB	0.9982	137.80
SIG	0.9982	67.96
TWX	0.9981	98.72
BCR	0.9981	249.99
FTV	0.9981	60.77
CAH	0.9981	82.30
CTAS	0.998	122.96
ORLY	0.9979	254.74
QRVO	0.9979	70.20
GE	0.9979	30.04
PM	0.9978	113.42
CPB	0.9978	56.64
COO	0.9978	197.40
VZ	0.9978	48.70
FTI	0.9978	33.53
WY	0.9977	34.64
TMK	0.9977	76.23
DIS	0.9977	113.07
TEL	0.9977	73.29
DGX	0.9976	98.23
RSG	0.9976	62.89
VMC	0.9976	121.19
MLM	0.9975	219.59
CL	0.9975	73.70
SHW	0.9974	312.40
AWK	0.9973	78.30
RHT	0.9973	85.16
CMS	0.9973	45.30
COL	0.9972	99.35
MAA	0.9972	102.85
DFS	0.9972	66.03
PH	0.9972	160.81
SWK	0.9972	132.58
VRSK	0.9971	79.63
PGR	0.9971	39.51
HAL	0.9971	50.01
GLW	0.9971	26.85
HON	0.9971	124.54
LOW	0.997	82.41
KMX	0.9969	57.24
PNW	0.9969	84.79
RL	0.9968	80.33
PG	0.9968	89.80
NI	0.9967	23.85
BK	0.9967	47.26
COST	0.9967	170.63
BF-B	0.9967	45.95
ROK	0.9966	156.11
ZTS	0.9966	52.85
WU	0.9966	19.52
EL	0.9965	84.85
DPS	0.9965	97.12
IRM	0.9964	35.50
JCI	0.9964	41.22
TRV	0.9964	121.19
FISV	0.9963	116.26
HAS	0.9963	96.29
CMG	0.9963	453.00
SRE	0.9962	110.48
UNP	0.9962	107.61
PPG	0.9961	106.06
MCK	0.9961	145.38
CERN	0.996	59.64
PBCT	0.996	17.89
PCAR	0.9959	67.53
MET	0.9959	52.77
RTN	0.9958	152.07
CSRA	0.9958	28.19
SYY	0.9958	52.08
CF	0.9958	29.65
CA	0.9958	31.98
MO	0.9958	72.08
ESRX	0.9957	66.77
TROW	0.9957	69.99
HD	0.9957	148.20
DAL	0.9956	45.29
FL	0.9955	72.48
INTU	0.9954	118.68
AME	0.9954	54.49
GGP	0.9954	23.28
HIG	0.9952	48.21
CHD	0.9952	50.01
AIZ	0.9952	95.21
HUM	0.9952	212.90
EVHC	0.9952	60.76
VLO	0.9951	65.63
HPQ	0.995	17.54
LLY	0.995	85.93
TDC	0.995	30.44
AMT	0.995	122.76
HCP	0.9949	31.81
IFF	0.9949	133.40
CTXS	0.9948	83.68
ULTA	0.9948	286.65
PFG	0.9948	62.90
LMT	0.9947	270.27
PBI	0.9947	13.14
NUE	0.9947	60.50
ALXN	0.9947	116.89
NFLX	0.9946	144.35
RAI	0.9946	63.97
PSX	0.9946	77.88
ETN	0.9946	75.39
TGNA	0.9944	25.64
ANTM	0.9944	167.43
GPC	0.9943	90.61
FBHS	0.9942	62.06
CTSH	0.9941	58.88
BWA	0.9941	38.25
EXR	0.9941	78.68
HBI	0.994	20.85
VRSN	0.9939	87.91
CMI	0.9938	150.48
TSN	0.9938	62.86
MHK	0.9938	229.93
VNO	0.9937	102.47
KSU	0.9936	88.40
WHR	0.9936	168.30
APD	0.9933	136.42
EQT	0.9933	63.60
LVLT	0.9933	59.10
ETR	0.9933	76.60
MCD	0.9933	131.20
TXT	0.9932	48.00
KMB	0.9932	132.63
ITW	0.9932	132.81
CLX	0.9931	134.53
WBA	0.993	82.68
PAYX	0.993	58.72
UDR	0.993	36.52
DOV	0.993	81.11
VTR	0.9928	65.47
STZ	0.9927	170.35
CINF	0.9927	71.39
NTRS	0.9926	86.64
DLR	0.9926	109.42
HCN	0.9925	72.79
HRB	0.9925	23.61
COP	0.9924	50.15
SLG	0.9924	109.05
IPG	0.9923	24.48
AKAM	0.9922	59.01
DVA	0.9921	68.31
ALLE	0.992	75.29
HSIC	0.992	170.06
WYN	0.9919	85.80
PNR	0.9918	63.44
FLR	0.9918	52.74
PRGO	0.9917	69.01
COH	0.9917	40.06
IVZ	0.9916	30.81
